validation_one TI33_25a TI33_25a sigma_y 9 1 34.068943 24.325975
validation_one Ti33_25a TI33_25a sigma_y 9 2 18.617916 18.127224
validation_one Ti33_25a TI33_25a sigma_y 9 3 43.272 33.714092
validation_one Ti33_25a TI33_25a sigma_y 9 4 23.271488 22.803173
validation_one Ti33_25a TI33_25a sigma_y 9 5 21.895184 17.10482
validation_one Ti33_25a TI33_25a sigma_y 9 10 19.204937 17.321714
validation_one Ti33_25a TI33_25a sigma_y 9 20 34.49958 36.6192

validation_one TI33_25a TI33_25a Estar 9 1 8.619205 1.6743975
validation_one Ti33_25a TI33_25a Estar 9 2 6.8593493 2.5646875
validation_one Ti33_25a TI33_25a Estar 9 3 6.0983825 1.9379541
validation_one Ti33_25a TI33_25a Estar 9 4 6.091887 1.4813129
validation_one Ti33_25a TI33_25a Estar 9 5 5.298505 1.9537387
validation_one Ti33_25a TI33_25a Estar 9 10 5.2244196 1.9212662
validation_one Ti33_25a TI33_25a Estar 9 20 3.6239312 2.01604
